cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,CLUSTER_ID
209.000,Mixed Trees,50.000,Trees,EC030,6037.941,"0"
211.000,Mixed Trees,50.000,Trees,EC030,191.311,"0"
214.000,Evergreen,25.000,Trees,EC030,122.934,"0"
215.000,Mixed Trees,50.000,Trees,EC030,150.201,"0"
216.000,Mixed Trees,50.000,Trees,EC030,354.506,"0"
217.000,Evergreen,25.000,Trees,EC030,3864.227,"0"
218.000,Mixed Trees,50.000,Trees,EC030,2848.711,"0"
219.000,Mixed Trees,50.000,Trees,EC030,217.245,"0"
220.000,Mixed Trees,50.000,Trees,EC030,116.673,"0"
221.000,Deciduous,24.000,Trees,EC030,148.543,"0"
223.000,Evergreen,25.000,Trees,EC030,315.631,"0"
227.000,Evergreen,25.000,Trees,EC030,474.067,"2"
228.000,Deciduous,24.000,Trees,EC030,218.176,"2"
229.000,Deciduous,24.000,Trees,EC030,163.288,"2"
230.000,Mixed Trees,50.000,Trees,EC030,1608.344,"2"
233.000,Mixed Trees,50.000,Trees,EC030,251.281,"0"
234.000,Deciduous,24.000,Trees,EC030,3122.641,"4"
235.000,Deciduous,24.000,Trees,EC030,6334.281,"2"
236.000,Deciduous,24.000,Trees,EC030,4233.095,"2"
237.000,Deciduous,24.000,Trees,EC030,176.720,"2"
238.000,Deciduous,24.000,Trees,EC030,124.507,"2"
240.000,Deciduous,24.000,Trees,EC030,3110.794,"2"
241.000,Mixed Trees,50.000,Trees,EC030,136.626,"2"
242.000,Deciduous,24.000,Trees,EC030,2784.740,"2"
243.000,Deciduous,24.000,Trees,EC030,170.665,"2"
244.000,Deciduous,24.000,Trees,EC030,114.919,"2"
245.000,Mixed Trees,50.000,Trees,EC030,788.740,"2"
246.000,Deciduous,24.000,Trees,EC030,168.097,"2"
247.000,Mixed Trees,50.000,Trees,EC030,112.031,"2"
248.000,Mixed Trees,50.000,Trees,EC030,110.081,"2"
249.000,Evergreen,25.000,Trees,EC030,1248.794,"2"
250.000,Deciduous,24.000,Trees,EC030,103.019,"2"
251.000,Deciduous,24.000,Trees,EC030,220.892,"2"
252.000,Mixed Trees,50.000,Trees,EC030,1166.304,"2"
253.000,Evergreen,25.000,Trees,EC030,126.778,"2"
254.000,Evergreen,25.000,Trees,EC030,152.662,"2"
255.000,Evergreen,25.000,Trees,EC030,136.779,"2"
256.000,Mixed Trees,50.000,Trees,EC030,396.522,"2"
257.000,Evergreen,25.000,Trees,EC030,133.823,"2"
258.000,Deciduous,24.000,Trees,EC030,181.824,"2"
259.000,Evergreen,25.000,Trees,EC030,161.183,"2"
260.000,Evergreen,25.000,Trees,EC030,204.990,"2"
261.000,Evergreen,25.000,Trees,EC030,1026.532,"2"
263.000,Mixed Trees,50.000,Trees,EC030,208.032,"2"
264.000,Evergreen,25.000,Trees,EC030,137.005,"2"
265.000,Deciduous,24.000,Trees,EC030,458.743,"2"
